name;template;category;includes_targets;targets;target_ids;shuffle
gpt_3_yes_no_with_targets;{premise} Question: {hypothesis} Yes or No?;instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
mnli_crowdsource_with_targets;"{premise} Using only the above description and what you know about the world, is ""{hypothesis}"" definitely correct? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
based_on_previous_passage_with_targets;"{premise} Based on the previous passage, is it true that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
infer_with_targets;"Suppose {premise} Can we infer that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
follow_with_targets;Given that {premise} Does it follow that {hypothesis} Yes or No?;instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
imply_with_targets;"{premise} Question: Does this imply that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
guaranteed_with_targets;"Given {premise} Is it guaranteed true that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
justified_with_targets;"{premise} Are we justified in saying that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
must_be_true_with_targets;"Given that {premise} Therefore, it must be true that ""{hypothesis}""? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
should_assume_with_targets;"Given {premise} Should we assume that ""{hypothesis}"" is true? Yes or No?";instructive;True;▁Yes, ▁No, ▁yes, ▁no;0, 1, 0, 1;False
