name;template;category;includes_labels;shuffle
null_pattern;{premise} {hypothesis};neutral;false;false
null_pattern_reversed;{hypothesis} {premise};neutral;false;false
gpt_3_true_false_neither;{premise} Question: {hypothesis} True, False, or Neither;instructive;true;false
gpt_3_yes_no_maybe;{premise} Question: {hypothesis} Yes, No, or Maybe;instructive;true;false
mnli_crowdsource;{premise} Using only the above description and what you know about the world, is "{hypothesis}" definitely Correct, Incorrect, or Inconclusive?;instructive;true;false
always_sometimes_never;Suppose it's true that {premise} Then, is "{hypothesis}" Always, Sometimes, or Never true?;instructive;true;false
based_on_previous_passage;{premise} Based on the previous passage, is it true that "{hypothesis}"? Yes, Mo, or Maybe?;instructive;true;false
infer;Suppose {premise} Can we infer that "{hypothesis}"? Yes, No, or Maybe?;instructive;true;false
claim;{premise} Based on that information, is the claim: "{hypothesis}" True, False, or Inconclusive?;instructive;true;false
consider;{premise} Keeping in mind the above text, consider: {hypothesis} Is this Always, Sometimes, or Never correct?;instructive;true;false
follow;Given that {premise} Does it follow that {hypothesis} Yes, No, or Maybe?;instructive;true;false
imply;{premise} Question: Does this imply that "{hypothesis}"? Yes, No, or Maybe?;instructive;true;false
guaranteed;Given {premise} Is it guaranteed true that "{hypothesis}"? Yes, No, or Maybe?;instructive;true;false
guaranteed_possible;Assume it is true that {premise} Therefor, "{hypothesis}" is Guaranteed, Possible, or Impossible?;instructive;true;false
justified;{premise} Are we justified in saying that "{hypothesis}"? Yes, No, or Maybe?;instructive;true;false
must_be_true;Given that {premise} Therefore, it must be true that "{hypothesis}"? Yes, No, or Maybe?;instructive;true;false
should_assume;Given {premise} Should we assume that "{hypothesis}" is true? Yes, No, or Maybe?;instructive;true;false
take_the_following;Take the following as truth: {premise} Then the following as statement: "{hypothesis}" is True, False, or Inconclusive?;instructive;true;false
