name;template;category;includes_targets;targets;shuffle
null_pattern;{premise} {hypothesis};neutral;false;none;false
null_pattern_reversed;{hypothesis} {premise};neutral;false;none;false
gpt_3_yes_no;{premise} Question: {hypothesis} Yes or No?;instructive;true;Yes, No;false
gpt_3_true_false;{premise} Question: {hypothesis} True or False?;instructive;true;True, False;false
mnli_crowdsource;{premise} Using only the above description and what you know about the world, is "{hypothesis}" definitely correct? Yes or No?;instructive;true;Yes, No;false
based_on_previous_passage;{premise} Based on the previous passage, is it true that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
infer;Suppose {premise} Can we infer that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
follow;Given that {premise} Does it follow that {hypothesis} Yes or No?;instructive;true;Yes, No;false
imply;{premise} Question: Does this imply that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
guaranteed;Given {premise} Is it guaranteed true that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
justified;{premise} Are we justified in saying that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
must_be_true;Given that {premise} Therefore, it must be true that "{hypothesis}"? Yes or No?;instructive;true;Yes, No;false
should_assume;Given {premise} Should we assume that "{hypothesis}" is true? Yes or No?;instructive;true;Yes, No;false
start_with_the;{premise} Does the paragraph start with "the"? {hypothesis};misleading;false;none;false
gpt_3_yes_no_shuffled;{premise} Question: {hypothesis} Yes or No?;instructive_shuffled;true;Yes, No;false
gpt_3_true_false_shuffled;{premise} Question: {hypothesis} True or False?;instructive_shuffled;true;True, False;false
